author,loc,spcd,treeno,coreno,cv,satw,extsatw,dw,extdw,sg,extsg,meth,ht
WDS_Pitch_Pine,101,126,5,B-3,,0.872,0.824,0.576,0.366,0.8565,0.5249,3,
WDS_Pitch_Pine,101,126,6,A-1,,0.742,0.74,0.28,0.27,0.4341,0.4177,3,
WDS_Pitch_Pine,101,126,6,A-2,,0.846,0.81,0.3,0.288,0.4043,0.4055,3,
WDS_Pitch_Pine,101,126,6,A-3,,0.802,0.762,0.262,0.256,0.3684,0.3802,3,
WDS_Pitch_Pine,101,126,6,B-1,,0.812,0.802,0.31,0.3,0.44,0.4298,3,
WDS_Pitch_Pine,101,126,6,B-2,,0.84,0.804,0.328,0.314,0.4516,0.4516,3,
WDS_Pitch_Pine,101,126,6,B-3,,0.76,0.736,0.266,0.26,0.3983,0.4025,3,
WDS_Pitch_Pine,101,126,10,B-3,,0.68,0.652,0.272,0.24,0.4643,0.4219,3,
WDS_Pitch_Pine,101,126,7,A-2,,0.572,0.542,0.244,0.2,0.5005,0.4231,3,
WDS_Pitch_Pine,101,126,7,A-3,,0.496,0.484,0.148,0.138,0.3328,0.3164,3,
WDS_Pitch_Pine,101,126,7,A-1,,0.538,0.528,0.19,0.182,0.4024,0.3914,3,
WDS_Pitch_Pine,101,126,10,B-2,,0.682,0.65,0.35,0.26,0.6242,0.4643,3,
WDS_Pitch_Pine,101,126,10,B-1,,0.534,0.534,0.25,0.222,0.5588,0.4857,3,
WDS_Pitch_Pine,101,126,10,A-3,,0.492,0.472,0.19,0.17,0.4458,0.4115,3,
WDS_Pitch_Pine,101,126,10,A-2,,0.528,0.514,0.208,0.202,0.4562,0.4549,3,
WDS_Pitch_Pine,101,126,10,A-1,,0.502,0.494,0.192,0.188,0.4409,0.4384,3,
WDS_Pitch_Pine,101,126,9,B-3,,0.574,0.552,0.238,0.196,0.4842,0.4049,3,
WDS_Pitch_Pine,101,126,9,B-2,,0.606,0.582,0.25,0.236,0.4813,0.4718,3,
WDS_Pitch_Pine,101,126,9,B-1,,0.55,0.54,0.232,0.224,0.494,0.4844,3,
WDS_Pitch_Pine,101,126,9,A-3,,0.542,0.522,0.204,0.188,0.4328,0.4115,3,
WDS_Pitch_Pine,101,126,9,A-2,,0.58,0.558,0.232,0.216,0.4643,0.447,3,
WDS_Pitch_Pine,101,126,9,A-1,,0.44,0.442,0.19,0.19,0.5078,0.5051,3,
WDS_Pitch_Pine,101,126,8,B-3,,0.72,0.696,0.3,0.274,0.487,0.4558,3,
WDS_Pitch_Pine,101,126,8,B-2,,0.718,0.694,0.28,0.276,0.4509,0.4612,3,
WDS_Pitch_Pine,101,126,8,B-1,,0.736,0.73,0.32,0.318,0.5119,0.513,3,
WDS_Pitch_Pine,101,126,8,A-3,,0.558,0.53,0.26,0.21,0.5556,0.4593,3,
WDS_Pitch_Pine,101,126,8,A-2,,0.51,0.498,0.212,0.2,0.4856,0.4665,3,
WDS_Pitch_Pine,101,126,8,A-1,,0.492,0.494,0.192,0.186,0.4512,0.433,3,
WDS_Pitch_Pine,101,126,7,B-3,,0.652,0.628,0.222,0.206,0.386,0.3701,3,
WDS_Pitch_Pine,101,126,7,B-2,,0.65,0.628,0.252,0.228,0.4478,0.4153,3,
WDS_Pitch_Pine,101,126,7,B-1,,0.642,0.636,0.238,0.226,0.4253,0.4052,3,
WDS_Pitch_Pine,101,126,1,A-1,,1.08,1.058,0.456,0.436,0.4946,0.4807,3,
WDS_Pitch_Pine,101,126,1,A-2,,1.058,1.034,0.468,0.45,0.5224,0.5125,3,
WDS_Pitch_Pine,101,126,1,A-3,,1.132,1.088,0.432,0.424,0.4398,0.4505,3,
WDS_Pitch_Pine,101,126,1,B-1,,0.714,0.712,0.26,0.25,0.4167,0.3997,3,
WDS_Pitch_Pine,101,126,1,B-2,,0.836,0.824,0.324,0.308,0.4477,0.4294,3,
WDS_Pitch_Pine,101,126,1,B-6,,0.85,0.81,0.308,0.286,0.4144,0.4023,3,
WDS_Pitch_Pine,101,126,2,A-1,,0.78,0.78,0.302,0.284,0.4472,0.4167,3,
WDS_Pitch_Pine,101,126,2,A-2,,0.778,0.758,0.292,0.28,0.4314,0.4236,3,
WDS_Pitch_Pine,101,126,2,A-3,,0.818,0.792,0.264,0.262,0.3634,0.3736,3,
WDS_Pitch_Pine,101,126,2,B-1,,0.85,0.842,0.322,0.312,0.436,0.4251,3,
WDS_Pitch_Pine,101,126,2,B-2,,0.85,0.834,0.33,0.32,0.4486,0.4425,3,
WDS_Pitch_Pine,101,126,2,B-3,,1.012,0.99,0.398,0.37,0.4553,0.4293,3,
WDS_Pitch_Pine,101,126,3,A-1,,0.48,0.43,0.258,0.204,0.6605,0.5677,3,
WDS_Pitch_Pine,101,126,3,A-2,,0.328,0.316,0.14,0.124,0.5009,0.4541,3,
WDS_Pitch_Pine,101,126,3,A-3,,0.382,0.378,0.132,0.118,0.3925,0.35,3,
WDS_Pitch_Pine,101,126,3,B-1,,0.39,0.388,0.178,0.172,0.5421,0.5237,3,
WDS_Pitch_Pine,101,126,3,B-2,,0.614,0.604,0.312,0.286,0.6167,0.5664,3,
WDS_Pitch_Pine,101,126,3,B-3,,0.814,0.828,0.368,0.29,0.536,0.3986,3,
WDS_Pitch_Pine,101,126,4,A-1,,0.63,0.632,0.238,0.214,0.4347,0.3836,3,
WDS_Pitch_Pine,101,126,4,A-2,,0.486,0.472,0.222,0.166,0.5427,0.4005,3,
WDS_Pitch_Pine,101,126,4,A-3,,0.47,0.456,0.16,0.142,0.3859,0.3491,3,
WDS_Pitch_Pine,101,126,4,B-1,,0.638,0.634,0.24,0.234,0.4325,0.4232,3,
WDS_Pitch_Pine,101,126,4,B-2,,0.672,0.648,0.242,0.23,0.4114,0.4047,3,
WDS_Pitch_Pine,101,126,4,B-3,,0.69,0.676,0.258,0.256,0.4296,0.4359,3,
WDS_Pitch_Pine,101,126,5,A-1,,0.994,1,0.392,0.378,0.4568,0.435,3,
WDS_Pitch_Pine,101,126,5,A-2,,1.04,0.978,0.522,0.34,0.6076,0.3952,3,
WDS_Pitch_Pine,101,126,5,A-3,,1.034,0.976,0.58,0.354,0.6962,0.4148,3,
WDS_Pitch_Pine,101,126,5,B-1,,0.78,0.764,0.32,0.274,0.4782,0.4095,3,
WDS_Pitch_Pine,101,126,25,B-3,,0.814,0.782,0.282,0.26,0.3937,0.3758,3,
WDS_Pitch_Pine,101,126,25,B-2,,0.784,0.75,0.328,0.272,0.4893,0.4148,3,
WDS_Pitch_Pine,101,126,25,B-1,,0.816,0.8,0.28,0.27,0.3894,0.3822,3,
WDS_Pitch_Pine,101,126,25,A-3,,0.674,0.65,0.252,0.224,0.4295,0.3913,3,
WDS_Pitch_Pine,101,126,25,A-2,,0.73,0.694,0.278,0.256,0.4387,0.4229,3,
WDS_Pitch_Pine,101,126,25,A-1,,0.912,0.908,0.362,0.346,0.4602,0.439,3,
WDS_Pitch_Pine,101,126,24,B-3,,0.57,0.544,0.218,0.174,0.4409,0.3597,3,
WDS_Pitch_Pine,101,126,24,B-2,,0.55,0.528,0.208,0.198,0.4352,0.431,3,
WDS_Pitch_Pine,101,126,24,B-1,,0.554,0.536,0.202,0.196,0.4173,0.4187,3,
WDS_Pitch_Pine,101,126,24,A-3,,0.602,0.584,0.2,0.19,0.3754,0.3667,3,
WDS_Pitch_Pine,101,126,24,A-2,,0.564,0.552,0.21,0.194,0.4275,0.4002,3,
WDS_Pitch_Pine,101,126,24,A-1,,0.552,0.562,0.208,0.192,0.4334,0.3875,3,
WDS_Pitch_Pine,101,126,23,B-3,,0.656,0.642,0.288,0.224,0.5178,0.3969,3,
WDS_Pitch_Pine,101,126,23,B-2,,0.702,0.672,0.268,0.25,0.4399,0.4271,3,
WDS_Pitch_Pine,101,126,23,B-1,,0.774,0.772,0.31,0.29,0.465,0.4318,3,
WDS_Pitch_Pine,101,126,23,A-3,,0.73,0.728,0.27,0.258,0.4242,0.404,3,
WDS_Pitch_Pine,101,126,23,A-2,,0.692,0.678,0.28,0.264,0.4706,0.4501,3,
WDS_Pitch_Pine,101,126,23,A-1,,0.72,0.696,0.258,0.252,0.4091,0.414,3,
WDS_Pitch_Pine,101,126,22,B-3,,1.052,1.008,0.548,0.388,0.6356,0.4441,3,
WDS_Pitch_Pine,101,126,22,B-2,,1.082,1.054,0.48,0.434,0.5242,0.4803,3,
WDS_Pitch_Pine,101,126,22,B-1,,1.082,1.076,0.452,0.432,0.4884,0.4663,3,
WDS_Pitch_Pine,101,126,22,A-3,,0.722,0.692,0.312,0.252,0.5082,0.4167,3,
WDS_Pitch_Pine,101,126,22,A-2,,0.7,0.688,0.274,0.264,0.4528,0.4425,3,
WDS_Pitch_Pine,101,126,22,A-1,,0.828,0.826,0.328,0.31,0.4591,0.4314,3,
WDS_Pitch_Pine,101,126,21,B-3,,0.52,0.504,0.16,0.148,0.3444,0.3269,3,
WDS_Pitch_Pine,101,126,21,B-2,,0.552,0.538,0.19,0.188,0.3908,0.3976,3,
WDS_Pitch_Pine,101,126,21,B-1,,0.454,0.442,0.176,0.166,0.4478,0.4317,3,
WDS_Pitch_Pine,101,126,21,A-3,,0.514,0.508,0.17,0.158,0.3735,0.3486,3,
WDS_Pitch_Pine,101,126,21,A-2,,0.554,0.544,0.198,0.192,0.4079,0.4021,3,
WDS_Pitch_Pine,101,126,21,A-1,,0.532,0.52,0.216,0.21,0.4725,0.4695,3,
WDS_Pitch_Pine,101,126,20,B-3,,1.116,1.1,0.488,0.418,0.5153,0.4376,3,
WDS_Pitch_Pine,101,126,20,B-2,,1.132,1.102,0.43,0.41,0.4374,0.4271,3,
WDS_Pitch_Pine,101,126,20,B-1,,1.11,1.1,0.324,0.352,0.3247,0.3599,3,
WDS_Pitch_Pine,101,126,20,A-3,,0.794,0.77,0.312,0.26,0.4549,0.3824,3,
WDS_Pitch_Pine,101,126,20,A-2,,0.78,0.768,0.284,0.27,0.4167,0.4003,3,
WDS_Pitch_Pine,101,126,20,A-1,,0.718,0.716,0.292,0.28,0.4734,0.4523,3,
WDS_Pitch_Pine,101,126,19,B-3,,0.628,0.602,0.238,0.21,0.4363,0.3968,3,
WDS_Pitch_Pine,101,126,19,B-2,,0.628,0.614,0.24,0.23,0.4405,0.4304,3,
WDS_Pitch_Pine,101,126,19,B-1,,0.602,0.596,0.234,0.222,0.4492,0.4277,3,
WDS_Pitch_Pine,101,126,19,A-3,,0.97,0.966,0.38,0.36,0.4533,0.4279,3,
WDS_Pitch_Pine,101,126,19,A-2,,1.028,1.026,0.416,0.414,0.4706,0.4691,3,
WDS_Pitch_Pine,101,126,19,A-1,,1.074,0.986,0.432,0.398,0.4674,0.4693,3,
WDS_Pitch_Pine,101,126,18,B-3,,0.542,0.538,0.182,0.166,0.38,0.3455,3,
WDS_Pitch_Pine,101,126,18,B-2,,0.656,0.628,0.24,0.232,0.4189,0.4236,3,
WDS_Pitch_Pine,101,126,18,B-1,,0.66,0.628,0.238,0.232,0.4121,0.4236,3,
WDS_Pitch_Pine,101,126,18,A-3,,0.66,0.636,0.256,0.218,0.4481,0.3889,3,
WDS_Pitch_Pine,101,126,18,A-2,,0.65,0.628,0.254,0.24,0.4519,0.4405,3,
WDS_Pitch_Pine,101,126,18,A-1,,0.654,0.624,0.246,0.232,0.4325,0.4268,3,
WDS_Pitch_Pine,101,126,17,B-3,,0.642,0.612,0.268,0.236,0.488,0.4451,3,
WDS_Pitch_Pine,101,126,17,B-2,,0.728,0.698,0.33,0.318,0.5377,0.541,3,
WDS_Pitch_Pine,101,126,17,B-1,,0.93,0.912,0.41,0.394,0.5203,0.508,3,
WDS_Pitch_Pine,101,126,17,A-3,,0.528,0.492,0.236,0.194,0.5289,0.4567,3,
WDS_Pitch_Pine,101,126,17,A-2,,0.62,0.586,0.262,0.252,0.495,0.5053,3,
WDS_Pitch_Pine,101,126,17,A-1,,0.53,0.524,0.22,0.218,0.4848,0.4861,3,
WDS_Pitch_Pine,101,126,16,B-3,,0.578,0.542,0.2,0.182,0.3931,0.38,3,
WDS_Pitch_Pine,101,126,16,B-2,,0.55,0.518,0.216,0.2,0.4546,0.4457,3,
WDS_Pitch_Pine,101,126,16,B-1,,0.582,0.574,0.24,0.222,0.4811,0.4466,3,
WDS_Pitch_Pine,101,126,16,A-3,,0.75,0.708,0.272,0.224,0.4148,0.3553,3,
WDS_Pitch_Pine,101,126,16,A-2,,0.77,0.736,0.31,0.292,0.4678,0.46,3,
WDS_Pitch_Pine,101,126,16,A-1,,0.768,0.744,0.312,0.292,0.4728,0.4542,3,
WDS_Pitch_Pine,101,126,15,B-3,,0.49,0.46,0.196,0.168,0.4643,0.4181,3,
WDS_Pitch_Pine,101,126,15,B-2,,0.52,0.494,0.208,0.19,0.4643,0.4437,3,
WDS_Pitch_Pine,101,126,15,B-1,,0.458,0.446,0.18,0.172,0.455,0.4451,3,
WDS_Pitch_Pine,101,126,15,A-3,,0.36,0.342,0.13,0.118,0.4127,0.3919,3,
WDS_Pitch_Pine,101,126,15,A-2,,0.322,0.298,0.122,0.114,0.4361,0.441,3,
WDS_Pitch_Pine,101,126,15,A-1,,0.69,0.676,0.26,0.24,0.4334,0.4048,3,
WDS_Pitch_Pine,101,126,14,B-3,,0.608,0.578,0.19,0.186,0.3504,0.3622,3,
WDS_Pitch_Pine,101,126,14,B-2,,0.616,0.596,0.262,0.218,0.4988,0.4188,3,
WDS_Pitch_Pine,101,126,14,B-1,,0.6,0.568,0.264,0.2,0.5191,0.401,3,
WDS_Pitch_Pine,101,126,14,A-3,,0.736,0.698,0.224,0.218,0.3402,0.3502,3,
WDS_Pitch_Pine,101,126,14,A-2,,0.826,0.784,0.322,0.298,0.4507,0.4377,3,
WDS_Pitch_Pine,101,126,14,A-1,,0.756,0.744,0.342,0.278,0.5364,0.4292,3,
WDS_Pitch_Pine,101,126,13,B-3,,0.97,0.932,0.356,0.328,0.4205,0.4008,3,
WDS_Pitch_Pine,101,126,13,B-2,,0.964,0.918,0.334,0.324,0.3937,0.4021,3,
WDS_Pitch_Pine,101,126,13,B-1,,0.902,0.904,0.33,0.33,0.4189,0.4179,3,
WDS_Pitch_Pine,101,126,13,A-3,,0.57,0.542,0.2,0.194,0.3994,0.4086,3,
WDS_Pitch_Pine,101,126,13,A-2,,0.62,0.592,0.262,0.212,0.495,0.4088,3,
WDS_Pitch_Pine,101,126,13,A-1,,0.592,0.586,0.238,0.228,0.4671,0.4497,3,
WDS_Pitch_Pine,101,126,12,B-3,,0.64,0.61,0.196,0.19,0.3426,0.3491,3,
WDS_Pitch_Pine,101,126,12,B-2,,0.644,0.618,0.242,0.228,0.432,0.423,3,
WDS_Pitch_Pine,101,126,12,B-1,,0.63,0.61,0.202,0.178,0.3607,0.3246,3,
WDS_Pitch_Pine,101,126,12,A-3,,0.372,0.356,0.112,0.106,0.3361,0.332,3,
WDS_Pitch_Pine,101,126,12,A-2,,0.55,0.52,0.208,0.182,0.4352,0.3983,3,
WDS_Pitch_Pine,101,126,12,A-1,,0.52,0.514,0.218,0.178,0.4905,0.3935,3,
WDS_Pitch_Pine,101,126,11,B-3,,0.412,0.39,0.16,0.148,0.4487,0.4369,3,
WDS_Pitch_Pine,101,126,11,B-2,,0.502,0.484,0.25,0.204,0.6018,0.4935,3,
WDS_Pitch_Pine,101,126,11,B-1,,0.508,0.498,0.194,0.19,0.4401,0.4396,3,
WDS_Pitch_Pine,101,126,11,A-3,,0.738,0.728,0.318,0.292,0.5065,0.4658,3,
WDS_Pitch_Pine,101,126,11,A-2,,0.652,0.624,0.26,0.254,0.4627,0.4739,3,
WDS_Pitch_Pine,101,126,11,A-1,,0.728,0.692,0.288,0.282,0.4584,0.4745,3,
WDS_Pitch_Pine,102,126,10,B-3,,1.102,1.1,0.402,0.354,0.4176,0.3622,3,
WDS_Pitch_Pine,102,126,10,B-2,,1.168,1.17,0.476,0.432,0.4745,0.4234,3,
WDS_Pitch_Pine,102,126,10,B-1,,0.968,0.98,0.378,0.352,0.4516,0.4102,3,
WDS_Pitch_Pine,102,126,10,A-3,,0.9,0.89,0.318,0.274,0.4026,0.3446,3,
WDS_Pitch_Pine,102,126,10,A-2,,0.89,0.882,0.352,0.318,0.4583,0.412,3,
WDS_Pitch_Pine,102,126,10,A-1,,1.052,1.06,0.382,0.348,0.4154,0.3704,3,
WDS_Pitch_Pine,102,126,9,B-3,,0.666,0.666,0.242,0.228,0.4157,0.3884,3,
WDS_Pitch_Pine,102,126,9,B-2,,0.684,0.688,0.312,0.288,0.5417,0.4896,3,
WDS_Pitch_Pine,102,126,9,B-1,,0.64,0.652,0.274,0.258,0.5027,0.4586,3,
WDS_Pitch_Pine,102,126,9,A-3,,0.618,0.624,0.232,0.206,0.4315,0.3728,3,
WDS_Pitch_Pine,102,126,9,A-2,,0.636,0.65,0.26,0.248,0.4762,0.4396,3,
WDS_Pitch_Pine,102,126,9,A-1,,0.59,0.602,0.226,0.224,0.4417,0.4272,3,
WDS_Pitch_Pine,102,126,8,B-3,,0.584,0.578,0.238,0.216,0.4745,0.4293,3,
WDS_Pitch_Pine,102,126,8,B-2,,0.582,0.578,0.23,0.21,0.4579,0.4156,3,
WDS_Pitch_Pine,102,126,8,B-1,,0.596,0.59,0.218,0.2,0.4188,0.3841,3,
WDS_Pitch_Pine,102,126,8,A-3,,0.682,0.674,0.278,0.25,0.4746,0.4256,3,
WDS_Pitch_Pine,102,126,8,A-2,,0.682,0.68,0.274,0.258,0.4667,0.4368,3,
WDS_Pitch_Pine,102,126,8,A-1,,0.596,0.59,0.218,0.2,0.4188,0.3841,3,
WDS_Pitch_Pine,102,126,7,B-3,,0.636,0.636,0.22,0.204,0.393,0.3608,3,
WDS_Pitch_Pine,102,126,7,B-2,,0.66,0.66,0.27,0.26,0.4766,0.4562,3,
WDS_Pitch_Pine,102,126,7,B-1,,0.514,0.516,0.178,0.162,0.3935,0.3523,3,
WDS_Pitch_Pine,102,126,7,A-3,,0.51,0.5,0.162,0.156,0.3569,0.3498,3,
WDS_Pitch_Pine,102,126,7,A-2,,0.512,0.506,0.19,0.174,0.4258,0.3904,3,
WDS_Pitch_Pine,102,126,7,A-1,,0.514,0.516,0.178,0.162,0.3935,0.3523,3,
WDS_Pitch_Pine,102,126,6,B-3,,0.652,0.638,0.218,0.206,0.3782,0.3635,3,
WDS_Pitch_Pine,102,126,6,B-2,,0.678,0.676,0.286,0.268,0.494,0.4596,3,
WDS_Pitch_Pine,102,126,6,B-1,,0.666,0.666,0.258,0.244,0.4474,0.4196,3,
WDS_Pitch_Pine,102,126,6,A-3,,0.714,0.712,0.254,0.238,0.4057,0.378,3,
WDS_Pitch_Pine,102,126,6,A-2,,0.718,0.718,0.31,0.292,0.5077,0.4734,3,
WDS_Pitch_Pine,102,126,6,A-1,,0.696,0.704,0.28,0.258,0.4674,0.4198,3,
WDS_Pitch_Pine,102,126,5,B-3,,0.768,0.766,0.26,0.242,0.3835,0.3548,3,
WDS_Pitch_Pine,102,126,5,B-2,,0.808,0.806,0.312,0.292,0.4458,0.4143,3,
WDS_Pitch_Pine,102,126,5,B-1,,0.79,0.79,0.278,0.258,0.4007,0.3682,3,
WDS_Pitch_Pine,102,126,5,A-3,,0.676,0.672,0.22,0.2,0.3668,0.3318,3,
WDS_Pitch_Pine,102,126,5,A-2,,0.68,0.684,0.25,0.23,0.4213,0.3806,3,
WDS_Pitch_Pine,102,126,5,A-1,,0.752,0.75,0.252,0.238,0.3791,0.3565,3,
WDS_Pitch_Pine,102,126,4,B-3,,0.874,0.87,0.368,0.342,0.493,0.4551,3,
WDS_Pitch_Pine,102,126,4,B-2,,0.87,0.874,0.352,0.332,0.4705,0.4374,3,
WDS_Pitch_Pine,102,126,4,B-1,,0.896,0.906,0.334,0.316,0.428,0.3967,3,
WDS_Pitch_Pine,102,126,4,A-3,,0.684,0.682,0.278,0.262,0.473,0.4431,3,
WDS_Pitch_Pine,102,126,4,A-2,,0.81,0.818,0.306,0.292,0.4347,0.4073,3,
WDS_Pitch_Pine,102,126,4,A-1,,0.778,0.792,0.282,0.278,0.4145,0.3996,3,
WDS_Pitch_Pine,102,126,3,B-3,,0.592,0.588,0.21,0.198,0.4044,0.3812,3,
WDS_Pitch_Pine,102,126,3,B-2,,0.602,0.608,0.252,0.242,0.4896,0.4617,3,
WDS_Pitch_Pine,102,126,3,B-1,,0.618,0.622,0.24,0.23,0.4487,0.4241,3,
WDS_Pitch_Pine,102,126,3,A-3,,0.544,0.532,0.19,0.168,0.3973,0.3546,3,
WDS_Pitch_Pine,102,126,3,A-2,,0.54,0.536,0.22,0.212,0.4744,0.4583,3,
WDS_Pitch_Pine,102,126,3,A-1,,0.518,0.516,0.198,0.182,0.4406,0.4018,3,
WDS_Pitch_Pine,102,126,2,B-3,,0.686,0.688,0.248,0.224,0.4133,0.367,3,
WDS_Pitch_Pine,102,126,2,B-2,,0.726,0.732,0.302,0.282,0.486,0.4446,3,
WDS_Pitch_Pine,102,126,2,B-1,,0.738,0.75,0.282,0.268,0.4404,0.4078,3,
WDS_Pitch_Pine,102,126,2,A-3,,0.514,0.522,0.182,0.166,0.4036,0.3574,3,
WDS_Pitch_Pine,102,126,2,A-2,,0.552,0.552,0.214,0.196,0.4478,0.4049,3,
WDS_Pitch_Pine,102,126,2,A-1,,0.532,0.538,0.182,0.176,0.3881,0.3689,3,
WDS_Pitch_Pine,102,126,1,B-3,,0.564,0.574,0.212,0.198,0.4322,0.3918,3,
WDS_Pitch_Pine,102,126,1,B-2,,0.578,0.586,0.26,0.242,0.5329,0.4819,3,
WDS_Pitch_Pine,102,126,1,B-1,,0.484,0.5,0.204,0.198,0.4935,0.459,3,
WDS_Pitch_Pine,102,126,1,A-3,,0.394,0.4,0.138,0.128,0.3986,0.3599,3,
WDS_Pitch_Pine,102,126,1,A-2,,0.39,0.398,0.156,0.14,0.4643,0.4006,3,
WDS_Pitch_Pine,102,126,1,A-1,,0.376,0.384,0.16,0.15,0.4991,0.4518,3,
WDS_Pitch_Pine,102,126,25,B-3,,0.918,0.936,0.374,0.344,0.4744,0.4211,3,
WDS_Pitch_Pine,102,126,25,B-2,,1.052,1.062,0.434,0.41,0.4813,0.4457,3,
WDS_Pitch_Pine,102,126,25,B-1,,1.026,1.038,0.378,0.366,0.4223,0.4017,3,
