FID,FEATURE_ID,LABEL_CENTRE_X,LABEL_CENTRE_Y,BEC_ZONE_CODE,QUAD_DIAM_125,BASAL_AREA,VRI_LIVE_STEMS_PER_HA,SPECIES_CD_1,SPECIES_PCT_1,SPECIES_CD_2,SPECIES_PCT_2,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_STAND_VOLUME_125,WHOLE_STEM_BIOMASS_PER_HA,BRANCH_BIOMASS_PER_HA,FOLIAGE_BIOMASS_PER_HA,BARK_BIOMASS_PER_HA,OBJECTID,FEATURE_AREA_SQM
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2fa,2880092,1486996,470789,MS,19.023,13.23665,568,LW,50.1,PL,49.9,90,23.2,90.403,94.479,12.112,7.164,12.297,1178275,103691.0133
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f9,2883983,1583269,478467,ICH,31.96,41.4753,522,LW,60,FDI,20,68,26.1,295.532,177.808,20.729,11.223,24.807,6895460,52462.1843
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f8,2891140,1581874,493396,ICH,45.775,38.520348,428,LW,40,HW,20,88,26.2,203.476,152.464,18.239,10.092,20.936,3336045,297877.5656
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f7,2891183,1580879,493376,ICH,36.939,34.816921,362,LW,80,FDI,10,78,27.7,245.873,161.761,19.165,10.516,22.351,3765647,34157.8635
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f6,2891207,1580923,495956,ICH,36.666,38.95134,461,LW,50,PLI,30,78,25.3,258.094,165.96,19.578,10.704,22.992,1578109,103042.3873
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f5,2891215,1581826,487336,ICH,37.508,30.875391,308,LW,50,FDI,40,98,25.9,204.131,146.254,17.612,9.802,19.994,4621556,133356.6913
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f4,2891228,1580490,496320,ICH,32.199,34.396584,541,LW,60,FDI,20,78,22.6,182.929,138.244,16.794,9.421,18.784,1401735,43999.8813
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f3,2891230,1582041,492716,ICH,35.795,36.622803,368,LW,80,FDI,20,88,26.2,239.934,159.934,18.984,10.433,22.072,607678,67344.2996
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f2,2891270,1582130,488940,ICH,39.547,14.93873,176,LW,50,FDI,20,98,22.4,80.644,89.313,11.534,6.875,11.55,6698350,52524.0551
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f1,2891271,1581190,496027,ICH,37.227,35.997162,441,LW,50,FDI,30,158,26.7,231.14,158.027,18.795,10.347,21.782,3059511,197199.5781
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2f0,2891289,1581081,493651,ICH,37.923,35.01466,349,LW,60,FDI,20,78,29,269.852,169.766,19.95,10.872,23.574,6846757,156710.404
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ef,2891337,1580433,493281,ICH,39.038,38.041271,451,LW,40,HW,30,98,22.4,175.907,141.273,17.105,9.566,19.241,3108426,105028.2704
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ee,2891343,1582170,492316,ICH,35.795,36.622803,368,LW,80,FDI,20,88,26.2,239.934,159.934,18.984,10.433,22.072,1330174,70695.6933
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ed,2891405,1581718,494276,ICH,50.112,38.308647,358,LW,40,PLI,30,88,28.5,254.583,167.536,19.733,10.774,23.233,3761844,19023.3896
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ec,2891434,1581713,494025,ICH,51.149,45.556412,408,LW,40,HW,30,88,35.8,377.173,212.328,23.946,12.642,30.131,4862989,64916.1486
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2eb,2891441,1581504,493719,ICH,45.438,41.79491,374,LW,50,FDI,30,88,32,336.604,192.364,22.109,11.838,27.046,6846504,232757.5858
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ea,2897591,1568519,506167,ESSF,57.206,44.003349,323,LW,40,SE,30,178,33.5,343.794,197.715,22.608,12.057,27.872,5093075,180014.3004
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e9,2897624,1580609,499943,ESSF,43.448,35.000011,230,LW,50,CW,40,288,32.3,225.231,173.288,20.293,11.027,24.113,4945411,198793.0644
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e8,2897732,1580958,503698,ESSF,,0,1971,LW,40,FD,20,30,7.4,,0,0,0,0,1180504,61410.3855
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e7,2905108,1579585,517451,ICH,44.511,45.314342,406,LW,40,EP,30,88,30.8,362.803,203.779,23.167,12.303,28.808,663774,136706.1851
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e6,2905111,1568348,509906,ICH,39.678,35.262119,316,LW,70,FDI,10,148,30.3,270.359,173.039,20.268,11.016,24.075,2458804,483786.7457
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e5,2905121,1569789,510906,ICH,38.466,36.162937,324,LW,60,SE,20,128,31.4,301.68,182.97,21.222,11.444,25.6,4291281,300866.1274
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e4,2905137,1570490,508931,ICH,39.233,33.46349,300,LW,60,FDI,20,108,29.7,259.936,167.521,19.731,10.773,23.231,1228201,308780.4699
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e3,2905156,1579908,512186,ICH,54.883,44.958439,350,LW,30.1,BL,29.9,148,33.5,323.146,195.755,22.426,11.977,27.569,6970726,140899.6005
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e2,2905187,1577958,517065,ICH,37.125,40.544777,363,LW,80,FDI,20,88,30.8,331.295,190.711,21.954,11.769,26.791,6846084,144006.3383
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e1,2905198,1573991,512009,ICH,34.873,36.04221,684,LW,40,HW,30,111,24.4,202.393,149.227,17.913,9.941,20.445,2704601,79820.1827
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2e0,2905270,1574649,515389,ICH,41.055,29.814102,249,LW,60,FDI,20,158,32,243.751,163.649,19.351,10.601,22.639,5318653,714937.1712
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2df,2905280,1573924,508109,ICH,37.585,42.220131,378,LW,90,PLI,10,108,32.9,373.873,205.328,23.309,12.365,29.048,4549806,51463.344
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2de,2905292,1573300,508385,ICH,37.686,36.385159,340,LW,80,PLI,10,88,28.5,269.967,170.624,20.034,10.91,23.705,5981644,66670.5279
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2dd,2905344,1579212,516871,ICH,45.214,46.055679,413,LW,50,FDI,20,88,29.7,331.332,191.877,22.064,11.817,26.971,5697543,384344.9462
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2dc,2905396,1569538,508297,ICH,51.794,41.30769,416,LW,40,SE,30,158,29.9,258.4,174.099,20.371,11.062,24.238,833521,452605.4054
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2db,2905397,1568311,510224,ICH,36.097,22.30798,219,LW,60,FDI,30,128,24.8,140.285,120.622,14.953,8.549,16.144,5359263,113811.7751
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2da,2905438,1574204,512486,ICH,40.329,39.185299,343,LW,60,FDI,20,158,32,316.542,188.744,21.769,11.687,26.488,2979655,153365.0432
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d9,2905460,1568190,509289,ICH,45.464,41.207542,369,LW,70,PLI,10,88,30.8,315.873,186.364,21.544,11.587,26.122,5092774,336395.3612
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d8,2905471,1569494,510340,ICH,37.587,36.384186,340,LW,80,PLI,10,88,28.5,270.922,173.853,20.347,11.051,24.2,1402417,89489.936
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d7,2905547,1579335,517614,ICH,44.03,41.042778,368,LW,40,FDI,30,88,33.5,352.996,200.865,22.899,12.185,28.358,6491625,340279.6488
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d6,2905602,1576383,519337,ICH,41.321,40.599133,364,LW,60,FDI,20,88,30.8,322.825,188.411,21.738,11.673,26.437,6354529,181818.9436
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d5,2912958,1576295,519510,ICH,41.321,40.599133,364,LW,60,FDI,20,88,30.8,322.825,188.411,21.738,11.673,26.437,6672328,30741.6183
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d4,2933033,1558585,555860,ICH,47.027,45.538071,498,LW,45,HW,35,168,27.5,250.378,176.734,20.625,11.176,24.642,4213678,470052.9652
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d3,2933040,1557753,561711,ICH,37.633,53.113029,483,LW,75,PLI,20,168,31.7,433.805,227.389,25.288,13.22,32.466,3962613,200182.1016
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d2,2933041,1556242,561812,ESSF,36.804,44.634151,426,LW,90,SE,10,168,31.7,354.456,198.719,22.701,12.098,28.027,6454365,120954.4479
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d1,2933050,1557475,555933,ICH,26.263,37.80265,789,LW,70,SE,30,68,22.3,215.211,149.144,17.905,9.937,20.432,1629896,20270.63
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2d0,2933059,1555813,555723,ICH,37.808,10.974291,98,LW,100,,,98,22.4,62.324,78.653,10.322,6.26,10.022,4002262,66715.7855
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2cf,2933063,1556885,561682,ICH,32.01,34.077843,477,LW,70,SE,15,128,22.7,195.436,144.431,17.427,9.716,19.718,3850529,466213.2107
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ce,2933079,1558437,560907,ICH,50.451,57.905788,441,LW,60,SE,20,188,34.3,455.677,234.282,25.89,13.477,33.537,1166552,333351.3747
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2cd,2933084,1558507,560028,ICH,47.455,47.097488,422,LW,50,HW,20,128,30.2,330.213,196.266,22.473,11.998,27.648,5447679,200919.8169
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2cc,2933085,1558213,556102,ICH,27.156,49.708118,1190,LW,70,PW,15,100,27,332.826,190.054,21.892,11.742,26.69,4013298,318504.8856
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2cb,2933121,1557241,561842,ICH,65.377,19.77771,90,LW,60,FDI,20,208,33.9,140.363,126.218,15.543,8.831,16.979,1675666,321640.5721
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ca,2933122,1555984,561891,ESSF,32.038,33.640198,470,LW,70,SE,15,128,22.7,199.325,144.735,17.458,9.73,19.764,6511737,18710.2572
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c9,2933168,1560601,560816,ICH,40.539,52.253132,468,LW,50,PLI,35,128,27,362.402,202.819,23.079,12.264,28.66,2149864,176045.6769
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c8,2933173,1559774,557296,ICH,43.207,44.508358,472,LW,60,FDI,20,168,29.6,303.152,184.576,21.375,11.512,25.847,5005199,25133.9208
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c7,2933184,1561044,557458,ICH,19.274,21.634069,1265,LW,50,CW,30,52,14.6,50.504,67.087,8.976,5.562,8.392,2298940,12567.2096
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c6,2933221,1560022,560670,ICH,39.081,44.763847,630,LW,40,HW,20,78,22.6,210.725,153.492,18.342,10.139,21.092,7002575,125951.8499
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c5,2933225,1557901,556108,ICH,39.857,39.179104,351,LW,80,HW,10,98,28.4,283.899,177.442,20.693,11.207,24.751,6859772,74855.6602
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c4,2933229,1561025,556819,ICH,52.73,19.392031,89,LW,100,,,208,33.9,155.396,130.083,15.948,9.023,17.558,4872516,132784.4485
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c3,2933238,1560410,561121,ICH,39.676,48.345634,413,LW,55,FDI,35,168,33.8,417.275,219.885,24.624,12.935,31.302,2538680,604683.9609
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c2,2933650,1561965,554390,ICH,34.024,41.917397,488,LW,60,FDI,30,98,21.2,214.954,150.611,18.053,10.006,20.655,4992279,40092.1533
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c1,2933680,1561739,557012,ICH,36.933,53.361034,478,LW,80,FDI,15,108,27.2,365.331,202.308,23.032,12.244,28.581,753832,101903.8657
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2c0,2933695,1563172,559608,ICH,42.694,39.78299,356,LW,50,CW,30,128,27,230.167,165.395,19.523,10.679,22.906,4854317,108904.115
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2bf,2933699,1561868,555081,ICH,37.46,52.929028,474,LW,60,FDI,30,118,27.6,369.472,203.522,23.144,12.292,28.769,3775785,369277.2516
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2be,2933700,1563786,558484,ICH,55.205,54.999981,450,LW,40,FDI,20,148,34.6,388.261,218.032,24.459,12.864,31.015,1272582,248975.0925
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2bd,2933705,1561969,560277,ICH,38.568,51.120178,461,LW,55,FDI,30,148,29.2,384.232,209.448,23.685,12.529,29.685,5189302,38927.543
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2bc,2933741,1562048,555452,ICH,37.162,32.17754,288,LW,70,FDI,30,118,27.6,220.752,153.547,18.348,10.142,21.1,5933949,35508.5392
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2bb,2933744,1562896,559117,ICH,43.768,45.991531,412,LW,60,AT,20,128,33.5,364.512,213.997,24.097,12.707,30.39,4090123,53112.6687
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ba,2933763,1563724,561829,ICH,46.648,32.820721,313,LW,45,FDI,25,88,28.5,207.54,151.404,18.133,10.043,20.775,6566350,313189.0705
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b9,2933764,1562131,557256,ICH,28.695,17.31642,275,LW,100,,,158,28.9,120.451,112.587,14.094,8.136,14.952,4683595,50388.9423
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b8,2933783,1561735,556352,ICH,37.448,39.716591,377,LW,70,PLI,30,108,25.1,263.632,169.409,19.916,10.857,23.519,6953723,99568.368
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b7,2933784,1561956,560703,ICH,39.676,48.345634,413,LW,55,FDI,35,168,33.8,417.275,219.885,24.624,12.935,31.302,1629745,552090.8181
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b6,2933848,1560780,561107,ICH,40.539,52.253132,468,LW,50,PLI,35,128,27,362.402,202.819,23.079,12.264,28.66,3626788,127085.8195
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b5,2933860,1561884,557216,ICH,28.868,31.921967,626,LW,53,HW,23,158,32,266.28,173.066,20.271,11.017,24.079,2129940,22530.2558
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b4,2933871,1563236,561930,ICH,38.567,31.231651,445,LW,40,FDI,20,78,25.3,177.703,138.051,16.774,9.411,18.755,4446100,156683.4619
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b3,2935665,1485743,555020,ICH,15.321,7.76565,691,LW,40,PL,38,35,11.1,13.8,34.705,4.98,3.348,4.041,1932233,27757.4838
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b2,2935737,1482357,559906,IDF,27.567,41.44392,738,LW,60,FDI,40,99,28.6,292.175,180.487,20.985,11.338,25.218,1150201,18951.5502
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b1,2935775,1481522,556085,IDF,16.316,13.74944,966,LW,38,PLI,36,49,13.8,38.386,60.718,8.219,5.16,7.508,3981451,111770.9593
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2b0,2935802,1485743,555729,ICH,37.807,9.95975,89,LW,100,,,126,22.4,57.737,76.002,10.017,6.103,9.646,2827800,71069.0024
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2af,2935910,1481128,556777,IDF,27.53,41.241508,725,LW,50,FDI,40,109,28.5,309.65,185.933,21.504,11.569,26.055,2375944,594342.9133
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ae,2935956,1480114,556972,IDF,19.525,46.465549,1826,LW,70,PL,20,74,24.4,282.109,174.67,20.426,11.087,24.325,3311344,13024.9478
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ad,2935975,1486208,555510,ICH,15.921,11.288389,875,LW,46,PLI,42,36,13.9,29.666,52.285,7.198,4.607,6.357,6688816,36875.6596
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ac,2936073,1479647,563313,IDF,37.284,49.898964,399,LW,70,FDI,30,256,33.4,390.309,218.648,24.514,12.888,31.11,4864710,23059.5066
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ab,2936151,1481491,558136,IDF,24.419,51.893497,1489,LW,50,FDI,30,89,26.4,314.766,184.254,21.344,11.498,25.797,4488660,40002.4041
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2aa,2936183,1481760,556022,ICH,35.79,42.760738,443,LW,75,PLI,20,129,30.3,345.818,197.373,22.576,12.043,27.819,5004295,65511.4503
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2a9,2936232,1486028,555487,ICH,15.92,11.66053,904,LW,46,PLI,42,36,13.9,30.639,53.152,7.304,4.665,6.474,4825966,50203.9248
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2a8,2936254,1482321,559635,IDF,37.422,26.04916,233,LW,80,FDI,10,141,28.3,181.133,142.024,17.182,9.602,19.355,6351715,11290.0507
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2a7,2936270,1481266,556408,IDF,16.315,14.05846,988,LW,38,PLI,36,49,13.8,39.242,61.408,8.302,5.204,7.604,2587905,76560.0862
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2a6,2936309,1480355,556381,IDF,37.261,43.319229,388,LW,70,FDI,25,129,29.2,303.977,189.17,21.809,11.705,26.554,3175964,72887.1136
